catprofesi,despersonalizacion,agotamiento,realizacion,Lid_total,CT_total,DEMA_riesgo,DEMA_carga,Dem_sitio,Dem_emo,Reco_total,EXT_casa,EXT_zona,inhibicion_Ac,inhibicion_(Tmp_RTA)
225,1,2,28,30,35,25,14,23,20,8,21,16,16,0.96,31.15
226,1,10,0,39,45,27,11,24,14,19,24,14,25,0.99,62.56
227,1,0,23,43,37,24,14,21,15,15,30,20,16,0.96,93.42
228,0,13,2,42,41,30,8,20,15,16,30,17,25,1.0,81.56
229,1,0,5,48,44,27,12,22,15,17,30,16,21,0.99,49.26
230,0,0,18,41,44,26,11,21,20,8,30,10,13,0.99,6.38
231,1,8,17,43,33,30,16,20,16,11,30,19,15,0.95,139.23
232,1,0,22,47,41,27,14,22,20,12,30,14,20,0.97,48.93
233,1,0,15,48,37,24,15,20,17,13,25,14,21,0.97,47.79
234,0,1,22,16,30,30,12,17,18,12,30,12,19,1.0,54.14
235,1,0,1,48,45,25,13,21,18,14,26,17,25,0.99,11.75
236,1,6,16,48,43,26,12,19,20,16,29,15,21,0.95,49.02
237,1,3,11,48,36,26,4,17,12,15,30,11,17,0.97,25.54
238,1,8,12,44,45,28,11,20,20,10,28,17,20,0.99,0.55
239,1,1,19,37,36,27,13,21,17,10,30,20,25,0.99,95.28
240,1,10,20,48,30,23,15,19,16,8,27,18,17,1.0,31.61
241,0,0,6,20,45,27,12,25,18,8,28,14,23,0.99,168.46
242,1,9,13,48,42,30,10,18,20,11,24,20,20,1.0,79.48
243,1,6,9,36,40,30,10,17,15,7,30,14,20,1.0,128.26
244,1,2,18,42,39,28,11,21,19,8,30,14,18,0.99,69.91
245,1,12,14,48,38,28,13,21,16,9,30,19,21,1.0,27.38
246,1,3,21,42,41,28,7,21,17,17,30,12,19,0.97,95.27
247,1,0,9,40,41,19,12,23,17,9,30,16,19,0.99,89.44
248,0,6,45,38,45,29,15,16,20,14,26,14,22,1.0,41.09
249,1,14,7,44,34,28,13,21,16,14,24,18,19,0.96,2.35
250,0,0,19,28,45,22,10,22,17,9,30,17,21,0.97,70.74
251,0,6,23,47,37,30,5,23,20,10,30,15,25,0.99,15.21
252,1,0,15,30,37,27,11,22,18,12,30,17,14,0.98,25.28
253,1,11,18,47,44,26,12,18,20,13,29,17,20,0.95,90.04
254,1,2,24,0,44,27,15,17,17,13,28,16,24,0.97,64.84
255,1,7,15,42,33,30,12,21,20,15,24,18,17,1.0,64.97
256,1,3,3,46,41,28,10,17,18,18,30,12,17,1.0,117.55
257,1,0,0,43,38,22,12,23,20,8,30,20,25,0.97,71.29
258,1,0,0,45,43,30,15,21,18,12,26,20,25,0.96,18.79
259,0,10,15,48,43,17,9,19,20,15,26,14,25,0.99,118.54
260,1,2,4,48,41,27,12,21,18,5,23,20,23,0.98,13.51
261,0,1,17,48,45,30,7,22,16,11,30,16,25,0.98,1.86
262,1,12,12,48,32,27,14,24,17,10,9,14,20,1.0,49.02
263,0,0,20,44,39,28,13,21,20,10,30,16,20,0.99,26.14
264,1,11,2,48,32,30,12,19,17,13,26,11,25,1.0,9.96
265,0,5,1,30,45,30,14,22,16,16,27,20,18,0.9,142.89
